Application,Status,Radar Segment,Impacted by Phoenix,Primary CGL,Original Environment (column to be deleted),Environment,Location,Function,Function Description,Category,AI Enabled,Platform Description,Retirement (This column to be deleted),Lifecycle,Trajectory,Action,Initial Action Timeline,Complete Action Timeline,Bridge Required ,New Platform,New Sub-Module/Application,Comments,Solution Details,Primary SI,Primary Architect,App Owner,Original Tab (for reference),"Found in ""Enterprise Application Inventory""","Found in ""Application Inventory SharePoint""?"
SAP-PM,3. GTO Done,Manufacturing,Yes,Equipment Management,"Corp, Fab1",Prod,Fab1,Manufacturing,Equipment Management,Manufacturing,Potential,"Computerized Maintenance Management System
SAP - Plant Maintenance",,Nearing EOL,Assess,N:1 - consolidation,Q1'27,Q4'28,No, SAP S/4HANA,EAM, Replace with SAP S4 EAM,,GF,Jeff Hanan,Lutz Vollmer,"Manufacturing, Technology & IT",TRUE,TRUE
SAP PM (FACILITIES),3. GTO Done,Manufacturing,Yes,Equipment Management,"Corp, Fab8, Fab9",Prod,"Fab8, Fab9",Manufacturing,Equipment Management,Manufacturing,Potential,"Computerized Maintenance Management System
SAP - Plant Maintenance",,Nearing EOL,Assess,N:1 - consolidation,Q1'27,Q4'28,No, SAP S/4HANA,EAM, Replace with SAP S4 EAM,,GF,Jeff Hanan,Kai,"Manufacturing, Technology & IT",,
SiView-DCS,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab7",Prod,Fab7,Manufacturing,Operations Management,Manufacturing,No,Data Collection,,Current,Assess,no change,,,,,, Integration with SAP S4 EAM,,,Jeff Hanan,Prem Thambiraj,"Manufacturing, Technology & IT",TRUE,TRUE
R Cluster in NEC,1. Not Started,,Delete,Engineering Analytics,"Corp, Fab8, Fab9",Corp,"Fab8, Fab9",,,,,Advanced Engineering Analytics,,,,,,,,,,,,,,,"Manufacturing, Technology & IT",TRUE,TRUE
CIS,1. Not Started,Enterprise,Y,EHS,Corp,Corp,,,,,,Chemical Information System,,,,no change,,,,,,,,,,Sumeet Sharma,Enterprise,,
CIS App,5. Duplicate App,,Y,EHS,Corp,Corp,,,,,,Chemical Information System,,,,no change,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
CREG/VREG App,5. Duplicate App,,Y,EHS,Corp,Corp,,,,,,Contractor and Visitor Registration,,,,no change,,,,,,,,,Alex,Sumeet Sharma/Rom Nakonieczny/Brandon Carey,"Manufacturing, Technology & IT",TRUE,TRUE
ECOLPLUS,3. GTO Done,,N,EHS,Corp,Corp,US Fabs,,To track waste disposal (custom built),,,Environment Control Management,,,,no change,,,,,,,,,Gopal,Sumeet Sharma,Enterprise,,
ECOLPLUS App,5. Duplicate App,,,EHS,Corp,Corp,,,,,,Environment Control Management,,,,no change,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
eGatePass,3. GTO Done,Enterprise,Yes,EHS,Corp,Corp,SG Fabs,,Used for Asset movement in/out of GF Singapore facility,,,Singapore site security gatepass approval,R6,,,N:1 - consolidation,Q1'26,Q1'27,,,,Discussions are still in progress to standardize this process as part of R6,,,Gopal,Sumeet Sharma,Enterprise,,
eGatePass App,5. Duplicate App,,N,EHS,Corp,Corp,,,,,,Singapore site security gatepass approval,,,,no change,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
ePTW,3. GTO Done,Enterprise,N,EHS,Corp,Corp,SG / US,,Used to validate permit to work in hardous environments,,,Electronic Permit to work for contractors who have GF issued ID (Contractor in CREG) to apply for EHS work permit.,,,,N:1 - consolidation,,,,SAP EHS,EHS,EHS Timeline is unclear,,,Gopal,Sumeet Sharma,Enterprise,,
ePTW App,5. Duplicate App,,,EHS,Corp,Corp,,,,,,Electronic Permit to work for contractors who have GF issued ID (Contractor in CREG) to apply for EHS work permit.,,,,no change,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
Facilities MapEngine,3. GTO Done,Enterprise,N,EHS,Corp,Corp,Fab 9,,"Find location of each person location - No renewal, retire",,,Space management system,R4,,Retire,1:0 - retirement,,,,,,No more required as this is considered mirco management to know location of each role in office,,,,Sumeet Sharma,Enterprise,,
Facilities MapEngine App,5. Duplicate App,,,EHS,Corp,Corp,,,,,,Space management system,,,,no change,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
Medgate App,1. Not Started,,N,EHS,Corp,Corp,,,,,,"It is a Web-based product that is compatible with Chrome,Firefox,IE and Safari. It integrates with GF for employee basic data via secure sFTP interface or using a standalone utility called MEIP",,,,no change,,,,,,,,,,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
TRIAS AMOS,1. Not Started,,N,EHS,Fab1,,Fab1,,,,,Software dedicated for waste management in Germany by vendor Axians. This software is used to track and document the waste management and waste disposal process as part of EU regulations. Business owner is Tom.Clarius@globalfoundries.com,,,,,,,,,,,,,,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
Waste Management,1. Not Started,,N,EHS,Corp,Corp,,,,,,Vendor custom developed Java application,,,,N:1 - consolidation,,,,,,,,,,Sumeet Sharma,Enterprise,,
Waste Management App,5. Duplicate App,,,EHS,Corp,Corp,,,,,,Vendor custom developed Java application,,,,N:1 - consolidation,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
eDataView,1. Not Started,R&D,"Y, D2P","DE custom, D2P","Corp, Tapeout",Corp,,,,,,"Tapeout job data view request and approval, Tcl/TK",,,,N:1 - consolidation,,,,,,,,,,"Sumeet Sharma, DE-IT: HUANG ZuXing","Enterprise, Manufacturing, R&D, Technology & IT",,
eDataView App,5. Duplicate App,,Y,DE custom,Corp,Corp,,,,,,Tapeout job data view request and approval,,,,N:1 - consolidation,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
eFCRF,1. Not Started,,Y,DE custom,Corp,Corp,,,Frame Tapout,,,Electronic Frame Change Request Form,,,,N:1 - consolidation,,,,,,,,,,Sumeet Sharma,Enterprise,,
eFCRF App,5. Duplicate App,,,DE custom,Corp,Corp,,,,,,Electronic Frame Change Request Form,,,,N:1 - consolidation,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
SSGR,1. Not Started,,Y,DE Custom,Corp,Corp,,,,,,Self-Service Guard Ring request,,,,,,,,,,,,,,Sumeet Sharma,Enterprise,,
SSGR App,5. Duplicate App,,,DE Custom,Corp,Corp,,,,,,Self-Service Guard Ring request,,,,,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
VAMOS AUTOPROC,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab1, Fab8",Corp,"Fab1, Fab8",Manufacturing,Integration for SiView and RTD to request control job,Manufacturing,No,300mm Dispatching Workflow Engine (JBoss/MDS dependency),,Current,Hold,no change,,,,,,No Change,,,Torsten Happ,Daniel Steger,"Manufacturing, Technology & IT",TRUE,TRUE
ARMS,1. Not Started,R&D,Y,DE,Corp,Corp,,,,,,DE data warehouse and reporting system,,,,,,,,,,,,,,JP,Enterprise,,
ARMS App,5. Duplicate App,,Y,DE,Corp,Corp,,,,,,DE data warehouse and reporting system,,,,,,,,,,,,,Alex,JP,"Manufacturing, Technology & IT",TRUE,TRUE
FMS Tapeout,1. Not Started,,Y,DE,Corp,Corp,,,,,,Used by Fab9-10 to capture Pre Tapeout requirements,,,,,,,,,,,,,,JP,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
Tableau,3. GTO Done,Technology & IT,N,DE,Corp,Corp,, Analytics system (sunset in Oct 2019),,Data & Analytics,No,Analytics system (sunset in Oct 2019),,EOL,Retire,1:0 - retirement,,,,Power BI,,,, JP,Alex,JP,"Enterprise, Technology & IT",,
Tableau App,5. Duplicate App,,N,DE,Corp,Corp,,,,,,Analytics system (sunset in Oct 2019),,,,,,,,,,,,,Alex,JP,"Manufacturing, Technology & IT",TRUE,TRUE
DaaS Cloud,1. Not Started,,N,Data Analytics,Corp,Corp,, Data Engineering for Advanced Analytics/ML development,,,,Data Engineering for Advanced Analytics/ML development,,,,,,,,,,,, Ashleigh Bunkofske,,Ashleigh Bunkofske,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
Data Ingestion,1. Not Started,,N,Data Analytics,Corp,Corp,,,,,,,,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
fac,1. Not Started,,Delete,Data Analytics,"Corp, Fab8",Corp,Fab8,,,,,Data Engineering for Advanced Analytics/ML development,,,,,,,,,,,,,,Ashleigh Bunkofske,"Manufacturing, Technology & IT",TRUE,TRUE
MA Data Pillar,1. Not Started,,N,Data Analytics,Corp,Corp,,,,,,Mfg Analytical Data,,,,,,,,,,,,,,Andre Holfeld,"Enterprise, Manufacturing, Technology & IT",,
ONEGF Data View,1. Not Started,,N,Data Analytics,Corp,Corp,,,,,,Consolidated data view via Snowflake,,,,,,,,,,,,,,Andre Holfeld,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
StreamSets F1,1. Not Started,Technology & IT,"Delete, N",Data Analytics,"Corp, Fab1",Corp,Fab1,,,,,Data Extraction,,,,,,,,,,,,,Alex,"DS, Srinivas","Manufacturing, Technology & IT",TRUE,TRUE
StreamSets F10,5. Duplicate App,Technology & IT,Delete,Data Analytics,"Corp, Fab9",Corp,Fab9,,,,,Data Extraction,,,,,,,,,,,,,Alex,"DS, Srinivas","Manufacturing, Technology & IT",TRUE,TRUE
StreamSets F7,5. Duplicate App,Technology & IT,Delete,Data Analytics,"Corp, Fab7, Giga",Corp,"Fab7, Giga",,,,,Data Extraction,,,,,,,,,,,,,Alex,"DS, Srinivas","Manufacturing, Technology & IT",TRUE,TRUE
StreamSets F8,5. Duplicate App,Technology & IT,Delete,Data Analytics,"Corp, Fab8",Corp,Fab8,,,,,Data Extraction,,,,,,,,,,,,,Alex,"DS, Srinivas","Manufacturing, Technology & IT",TRUE,TRUE
StreamSets F9,5. Duplicate App,Technology & IT,Delete,Data Analytics,"Corp, Fab9",Corp,Fab9,,,,,Data Extraction,,,,,,,,,,,,,Alex,"DS, Srinivas","Manufacturing, Technology & IT",TRUE,TRUE
StreamSets Giga,5. Duplicate App,Technology & IT,Delete,Data Analytics,"Corp, Fab7, Giga",Corp,"Fab7, Giga",,,,,Data Extraction,,,,,,,,,,,,,Alex,"DS, Srinivas","Manufacturing, Technology & IT",TRUE,TRUE
Transient DB F1,6. Not an App,,"Delete, N",Data Analytics,"Corp, Fab1",Corp,Fab1,,,,,Data Extraction,,,,,,,,,,This is a DB not an application,,,,Rambhupala Reddy Mukkamalla,"Manufacturing, Technology & IT",TRUE,TRUE
Transient DB F7,6. Not an App,,N,Data Analytics,"Corp, Fab7, Giga",Corp,"Fab7, Giga", Data Extraction,,,,Data Extraction,,,,,,,,,,This is a DB not an application,, Rambhupala Reddy Mukkamalla,,Rambhupala Reddy Mukkamalla,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
Transient DB F8,6. Not an App,,Delete,Data Analytics,"Corp, Fab8",Corp,Fab8,,,,,Data Extraction,,,,,,,,,,This is a DB not an application,,,,Rambhupala Reddy Mukkamalla,"Manufacturing, Technology & IT",TRUE,TRUE
Transient DB F9,6. Not an App,,Delete,Data Analytics,"Corp, Fab9",Corp,Fab9,,,,,Data Extraction,,,,,,,,,,This is a DB not an application,,,,Rambhupala Reddy Mukkamalla,"Manufacturing, Technology & IT",TRUE,TRUE
Transient DB Giga,6. Not an App,,Delete,Data Analytics,"Corp, Fab7, Giga",Corp,"Fab7, Giga",,,,,Data Extraction,,,,,,,,,,This is a DB not an application,,,,Rambhupala Reddy Mukkamalla,"Manufacturing, Technology & IT",TRUE,TRUE
SNAP,1. Not Started,R&D,"D2P, Delete","D2P, Fab Setup","Tapeout, Corp, Fab9",Corp,Fab9,,,,,"Java, , Semiconductor Nomenclature Assembly Profile",,,,,,,,,, No Change,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",TRUE,TRUE
XSite v3.x,3. GTO Done,Manufacturing,Yes,Equipment Management,"Corp, Fab7, Fab8",Prod,"Fab7, Fab8",Manufacturing,Equipment Management,Manufacturing,Potential, Xsite CMMS,,Current,Hold,N:1 - consolidation,Q1'27,Q4'28,No, SAP S/4HANA,EAM, Replace with SAP S4 EAM,,,Jeff Hanan,Ryan Sommers,"Manufacturing, Technology & IT",TRUE,TRUE
/tool/mdp/bin/create_GFP10XML_*,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
/tool/mdp/bin/IPMerge/batch_IPMerge.py,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,TOC: Sayati,"Enterprise, Manufacturing, R&D, Technology & IT",,
4.0 GENOME,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,,"Enterprise, Manufacturing, R&D, Technology & IT",,
A bunch of lite scripts serving different teams,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,TMA: Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
Access Control Setup,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,DE-IT: HUANG ZuXing,"Enterprise, Manufacturing, R&D, Technology & IT",,
AreaCalculator,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
ARMS/GTO Metric (RTM),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,.net,,,,,,,,,,,,,,Vijay V,"Enterprise, Manufacturing, R&D, Technology & IT",,
ARMS/IP,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,.net,,,,,,,,,,,,,,Fang Hong,"Enterprise, Manufacturing, R&D, Technology & IT",,
Atomic Units,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
AutoArea,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
AutoDelete,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
AutoInspect,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
CAD Development DBTF Check (CDDC) Setup,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,GFD-CAD Dev,"Enterprise, Manufacturing, R&D, Technology & IT",,
CAD Utility,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
cASCAL,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Perl,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
CD Metrology,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,Mask Tech & GFD-CAD Dev,"Enterprise, Manufacturing, R&D, Technology & IT",,
CheckEmptyDatalevels,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
Checklist,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,Chris Luczynski,"Enterprise, Manufacturing, R&D, Technology & IT",,
"Chip Design PN, Frame Design PN, Reticle Floorplan",1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,,"Enterprise, Manufacturing, R&D, Technology & IT",,
Common,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
Common-IO,6. Not an App,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
Common-Net-Calls,6. Not an App,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
Common-Password,6. Not an App,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
Common-Replicator,6. Not an App,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
CopyDB,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
D2P HPC,1. Not Started,R&D,Y,D2P,Corp,Corp,,,,,,,,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
Data Migration,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
Data Model and Data Dictionary,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,,"Enterprise, Manufacturing, R&D, Technology & IT",,
Data Transfer (to Fabs & EDA partners) Setup,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,TMA: Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
DEM (RLA),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Design Enabled Manufacturing,,,,,,,,,,,,,,Low Chin Ghee,"Enterprise, Manufacturing, R&D, Technology & IT",,
Design DB (Backend),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
Design DB UI,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,No,,,,,,,Casey Grant,"Enterprise, Manufacturing, R&D, Technology & IT",,
DFM-DEM Knowledge Database System,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,DTM: LOW Chin Ghee,"Enterprise, Manufacturing, R&D, Technology & IT",,
DMA,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Dynamic Mechanical Analysis,,,,,,,,,,,,,,Dave MacDonnell,"Enterprise, Manufacturing, R&D, Technology & IT",,
Docuta,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,TOC: Jackie HII,"Enterprise, Manufacturing, R&D, Technology & IT",,
dPrepUtils,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,L. Selvey,"Enterprise, Manufacturing, R&D, Technology & IT",,
DPTracking,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,L. Selvey,"Enterprise, Manufacturing, R&D, Technology & IT",,
DRC / DWC,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,"GTO: Casey, Colin; WRB: Marc Petri/CT Lim/Summer, FAE: Robert Meyer","Enterprise, Manufacturing, R&D, Technology & IT",,
DRC/DWC (ph2),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,WRB: Marc Petri/CT Lim/Summer/GaryM/GlenM,"Enterprise, Manufacturing, R&D, Technology & IT",,
DRR,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,"React/PHP
Alex - 021722 Data Review and Release?",,,,,,,,,,,,,,Patrick Montgomery,"Enterprise, Manufacturing, R&D, Technology & IT",,
dsg2nc,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
DTM Service- Customer Package,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,"Colin Hui, Casey Grant","Enterprise, Manufacturing, R&D, Technology & IT",,
DTM Service- DRC Waiver,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,,"Enterprise, Manufacturing, R&D, Technology & IT",,
DWC,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,SFDC,,,,,,,,,,,,,,Casey Grant / Colin,"Enterprise, Manufacturing, R&D, Technology & IT",,
eCOC vs. PO check,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Mixed,,,,,,,,,,,,,,Sia Kim,"Enterprise, Manufacturing, R&D, Technology & IT",,
eCopyMO,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
eDP,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,L. Selvey,"Enterprise, Manufacturing, R&D, Technology & IT",,
eECPN,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
eKywdmgr,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,L. Selvey,"Enterprise, Manufacturing, R&D, Technology & IT",,
eMaskReports,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
EMOE,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
eRelease,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,L. Selvey,"Enterprise, Manufacturing, R&D, Technology & IT",,
eTechparms,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
eTracker,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,No,,,,,,,L. Selvey,"Enterprise, Manufacturing, R&D, Technology & IT",,
EVT,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
Extract - needed until TO 4.0 completes,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
EZPDK,1. Not Started,R&D,Y,D2P,Corp,Corp,,,,,,Documentation search for EZPDK project,,,,,,,,,,,,,,JP,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
F3,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
F3Batch,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
F3BCL (feed-forward to CFM),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,Stefan Schueler,"Enterprise, Manufacturing, R&D, Technology & IT",,
Fab and Test data management,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,,"Enterprise, Manufacturing, R&D, Technology & IT",,
FEAR,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
Fillcheck,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
FMS,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,No,,,,,,,Casey Grant/Grandy,"Enterprise, Manufacturing, R&D, Technology & IT",,
Frame Change Control Centre (F3C) Program,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,GFD-CAD Dev,"Enterprise, Manufacturing, R&D, Technology & IT",,
Frame Controller,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,React/Java,,,,,,,,,,,,,,David Collins/Jeff Stam,"Enterprise, Manufacturing, R&D, Technology & IT",,
Framebuild Sand Box,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,GFD-CAD Dev,"Enterprise, Manufacturing, R&D, Technology & IT",,
FTRF (Foundry Tapeout Request Form),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,.net/SFDC,,,,,,,,,,,,,,Casey Grant,"Enterprise, Manufacturing, R&D, Technology & IT",,
Genome,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Perl,,,,,,,,,,,,,,Patrick Montgomery,"Enterprise, Manufacturing, R&D, Technology & IT",,
GetOrderBatch,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
GetPassword,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
GFDEvent,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
GFP10,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
GFPyLib,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
Global Scheduler,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
GPS / cellCensus,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
GTO Data Warehouse,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,No,,,,,,,,"Enterprise, Manufacturing, R&D, Technology & IT",,
GTO int/LCONV (ph2),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Patrick,"Enterprise, Manufacturing, R&D, Technology & IT",,
Integration,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,odata/mooni/SQS,,,,,,,,,,,,,,Respective device owner,"Enterprise, Manufacturing, R&D, Technology & IT",,
JIT,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
JMSDespooler,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
Jobdeck,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
Jobview Notification System,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,TOC: Jackie HII,"Enterprise, Manufacturing, R&D, Technology & IT",,
